Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
2771111150530.0;Чернила ОСР 712 M для картриджей CAN CL-511/513 Magenta, 25 g;;140.0;1.4;;;;;C7O
2771111150547.0;Чернила ОСР 712 Y для картриджей CAN CL-511/513 Yellow, 25 g;;140.0;1.4;;;;;C7O
2771111150585.0;Чернила ОСР 795 C  для картриджей CAN CL-41, 25 g;;180.0;1.67;;;;;C7O
2771111150561.0;Чернила ОСР 795 M  для картриджей CAN CL-41, 25 g;;180.0;1.67;;;;;C7O
2771111150578.0;Чернила ОСР 795 Y  для картриджей CAN CL-41, 25 g;;180.0;1.67;;;;;C7O
2771111150592.0;Чернила ОСР 797 BK  для картриджей CAN CL-52, 25 g;;220.0;2.11;;;;;C7O
;OCP для EPSON 0.025 kg;;;;;;;;
2772905120821.0;Комплект чернил ОСР для EPS (ВКP115, C/M/Y140), 25 g x4;;1020.0;10.16;;;;;7EO
2772905120814.0;Комплект чернил ОСР для EPS (ВКP115, C142, M/Y140) , 25 g x4;;820.0;8.23;;;;;7EO
2771109150597.0;Комплект чернил ОСР для EPS 11880 (ВКP202/203/201/200,СP200,CPL201,YP200,MP209,MPL210), 25 g x9;;3340.0;33.7;;;;;7EO
2772905120333.0;Комплект чернил ОСР для EPS Clar (340), повыш.светостойкости(ВК140(340),С/М/Y140,ML/CL141), 25 g x 6;;1300.0;13.1;;;;;7EO
2772905120319.0;Комплект чернил ОСР для EPS Clar (ВК140(340),С142,М/Y140,ML/CL141), 25 g x6;;1130.0;11.18;;;;;7EO
2772905120326.0;Комплект чернил ОСР для EPS Clar(340),повыш.свет.+RSL(ВК140(340),С/M/Y140,ML/CL141/RSL), 25 g x 7;;1370.0;13.87;;;;;7EO
2772905120302.0;Комплект чернил ОСР для EPS Clar+RSL (ВК140(340),С142,М/Y140,ML/CL141,RSL), 25 g x7;;1190.0;11.96;;;;;7EO
2772905120371.0;Комплект чернил ОСР для EPS Dura (ВКP/CP115,MP/YP102), 25 g x4;;1310.0;13.18;;;;;7EO
